PGA (g),PoE (IO Bare),PoE (IO Concrete Jacketing),PoE (LS Bare),PoE (LS Concrete Jacketing),PoE (CP Bare),PoE (CP Concrete Jacketing)
0,0,0,0,0,0,0
0.002002002002,6.83E-155,3.47E-245,9.03E-278,1.72E-296,0,0
0.004004004004,4.74E-112,8.37E-190,3.31E-205,1.88E-234,7.24E-295,0
0.006006006006,3.04E-90,1.02E-160,6.95E-168,1.47E-201,1.44E-245,1.61E-302
0.008008008008,3.16E-76,1.45E-141,1.07E-143,9.63E-180,2.40E-213,1.23E-271
0.01001001001,3.47E-66,1.48E-127,3.01E-126,1.09E-163,6.34E-190,7.82E-249
0.01201201201,1.60E-58,1.17E-116,7.71E-113,3.89E-151,8.28E-172,5.97E-231
0.01401401401,2.03E-52,7.87E-108,4.23E-102,6.42E-141,3.30E-157,2.35E-216
0.01601601602,2.05E-47,1.81E-100,3.08E-93,2.32E-132,4.33E-145,4.22E-204
0.01801801802,3.26E-43,3.40E-94,9.23E-86,4.89E-125,8.25E-135,1.37E-193
0.02002002002,1.26E-39,9.32E-89,2.42E-79,1.15E-118,6.14E-126,1.99E-184
0.02202202202,1.60E-36,5.58E-84,9.31E-74,4.78E-113,3.54E-118,2.49E-176
0.02402402402,8.36E-34,9.76E-80,7.70E-69,4.87E-108,2.61E-111,4.23E-169
0.02602602603,2.12E-31,6.22E-76,1.81E-64,1.56E-103,3.54E-105,1.39E-162
0.02802802803,2.95E-29,1.70E-72,1.49E-60,1.89E-99,1.17E-99,1.15E-156
0.03003003003,2.47E-27,2.28E-69,5.05E-57,1.01E-95,1.18E-94,2.95E-151
0.03203203203,1.35E-25,1.65E-66,8.09E-54,2.66E-92,4.30E-90,2.78E-146
0.03403403403,5.07E-24,7.07E-64,6.78E-51,3.80E-89,6.50E-86,1.09E-141
0.03603603604,1.39E-22,1.91E-61,3.24E-48,3.19E-86,4.58E-82,2.01E-137
0.03803803804,2.87E-21,3.43E-59,9.44E-46,1.67E-83,1.65E-78,1.89E-133
0.04004004004,4.65E-20,4.30E-57,1.79E-43,5.79E-81,3.30E-75,9.78E-130
0.04204204204,6.06E-19,3.93E-55,2.30E-41,1.38E-78,3.89E-72,2.98E-126
0.04404404404,6.51E-18,2.69E-53,2.10E-39,2.37E-76,2.87E-69,5.63E-123
0.04604604605,5.88E-17,1.43E-51,1.41E-37,3.01E-74,1.39E-66,6.94E-120
0.04804804805,4.55E-16,6.00E-50,7.18E-36,2.91E-72,4.60E-64,5.79E-117
0.05005005005,3.06E-15,2.04E-48,2.85E-34,2.20E-70,1.08E-61,3.39E-114
0.05205205205,1.81E-14,5.75E-47,9.01E-33,1.33E-68,1.84E-59,1.44E-111
0.05405405405,9.57E-14,1.36E-45,2.31E-31,6.56E-67,2.37E-57,4.53E-109
0.05605605606,4.55E-13,2.72E-44,4.92E-30,2.67E-65,2.34E-55,1.09E-106
0.05805805806,1.96E-12,4.71E-43,8.81E-29,9.14E-64,1.82E-53,2.04E-104
0.06006006006,7.75E-12,7.12E-42,1.34E-27,2.66E-62,1.14E-51,3.02E-102
0.06206206206,2.82E-11,9.48E-41,1.77E-26,6.69E-61,5.76E-50,3.62E-100
0.06406406406,9.55E-11,1.12E-39,2.03E-25,1.46E-59,2.42E-48,3.55E-98
0.06606606607,3.01E-10,1.19E-38,2.06E-24,2.81E-58,8.53E-47,2.89E-96
0.06806806807,8.91E-10,1.14E-37,1.86E-23,4.80E-57,2.55E-45,1.97E-94
0.07007007007,2.48E-09,9.99E-37,1.51E-22,7.32E-56,6.55E-44,1.15E-92
0.07207207207,6.55E-09,7.98E-36,1.10E-21,1.00E-54,1.46E-42,5.74E-91
0.07407407407,1.64E-08,5.87E-35,7.33E-21,1.25E-53,2.84E-41,2.49E-89
0.07607607608,3.92E-08,4.00E-34,4.47E-20,1.42E-52,4.89E-40,9.43E-88
0.07807807808,8.94E-08,2.53E-33,2.51E-19,1.47E-51,7.48E-39,3.15E-86
0.08008008008,1.96E-07,1.49E-32,1.30E-18,1.41E-50,1.02E-37,9.35E-85
0.08208208208,4.12E-07,8.26E-32,6.27E-18,1.25E-49,1.27E-36,2.48E-83
0.08408408408,8.34E-07,4.30E-31,2.83E-17,1.03E-48,1.42E-35,5.91E-82
0.08608608609,1.63E-06,2.11E-30,1.19E-16,7.93E-48,1.45E-34,1.27E-80
0.08808808809,3.09E-06,9.82E-30,4.74E-16,5.71E-47,1.36E-33,2.49E-79
0.09009009009,5.68E-06,4.34E-29,1.78E-15,3.86E-46,1.17E-32,4.46E-78
0.09209209209,1.01E-05,1.82E-28,6.30E-15,2.46E-45,9.32E-32,7.32E-77
0.09409409409,1.76E-05,7.31E-28,2.12E-14,1.48E-44,6.90E-31,1.11E-75
0.0960960961,2.98E-05,2.80E-27,6.82E-14,8.48E-44,4.76E-30,1.55E-74
0.0980980981,4.91E-05,1.03E-26,2.09E-13,4.61E-43,3.07E-29,2.01E-73
0.1001001001,7.91E-05,3.64E-26,6.13E-13,2.38E-42,1.86E-28,2.43E-72
0.1021021021,0.0001247265559,1.24E-25,1.72E-12,1.18E-41,1.06E-27,2.75E-71
0.1041041041,0.0001925433333,4.06E-25,4.65E-12,5.56E-41,5.69E-27,2.92E-70
0.1061061061,0.0002913690732,1.28E-24,1.21E-11,2.52E-40,2.90E-26,2.90E-69
0.1081081081,0.0004326479028,3.92E-24,3.03E-11,1.09E-39,1.40E-25,2.73E-68
0.1101101101,0.0006309655892,1.16E-23,7.35E-11,4.58E-39,6.42E-25,2.42E-67
0.1121121121,0.0009045561336,3.34E-23,1.72E-10,1.85E-38,2.81E-24,2.03E-66
0.1141141141,0.00127579256,9.32E-23,3.92E-10,7.18E-38,1.17E-23,1.62E-65
0.1161161161,0.001771634182,2.53E-22,8.64E-10,2.70E-37,4.69E-23,1.22E-64
0.1181181181,0.002424000276,6.67E-22,1.85E-09,9.80E-37,1.80E-22,8.84E-64
0.1201201201,0.003270039416,1.72E-21,3.85E-09,3.45E-36,6.61E-22,6.09E-63
0.1221221221,0.004352264947,4.31E-21,7.82E-09,1.18E-35,2.34E-21,4.01E-62
0.1241241241,0.005718530305,1.05E-20,1.55E-08,3.91E-35,7.98E-21,2.53E-61
0.1261261261,0.007421822985,2.52E-20,2.99E-08,1.26E-34,2.62E-20,1.53E-60
0.1281281281,0.009519862779,5.91E-20,5.64E-08,3.96E-34,8.34E-20,8.93E-60
0.1301301301,0.01207449801,1.35E-19,1.04E-07,1.21E-33,2.56E-19,5.00E-59
0.1321321321,0.01515090247,3.04E-19,1.88E-07,3.61E-33,7.63E-19,2.70E-58
0.1341341341,0.01881658503,6.69E-19,3.33E-07,1.05E-32,2.20E-18,1.40E-57
0.1361361361,0.02314023295,1.44E-18,5.78E-07,2.99E-32,6.18E-18,7.05E-57
0.1381381381,0.0281904182,3.06E-18,9.83E-07,8.31E-32,1.68E-17,3.43E-56
0.1401401401,0.03403420311,6.37E-18,1.64E-06,2.26E-31,4.46E-17,1.61E-55
0.1421421421,0.04073568689,1.30E-17,2.70E-06,6.01E-31,1.15E-16,7.36E-55
0.1441441441,0.04835453832,2.62E-17,4.36E-06,1.57E-30,2.90E-16,3.25E-54
0.1461461461,0.0569445608,5.19E-17,6.92E-06,4.00E-30,7.11E-16,1.40E-53
0.1481481481,0.06655233571,1.01E-16,1.08E-05,1.00E-29,1.70E-15,5.83E-53
0.1501501502,0.07721598688,1.94E-16,1.67E-05,2.47E-29,3.99E-15,2.37E-52
0.1521521522,0.08896410476,3.67E-16,2.53E-05,5.96E-29,9.14E-15,9.37E-52
0.1541541542,0.1018148626,6.85E-16,3.78E-05,1.41E-28,2.05E-14,3.61E-51
0.1561561562,0.1157753504,1.26E-15,5.58E-05,3.30E-28,4.49E-14,1.36E-50
0.1581581582,0.1308411432,2.29E-15,8.12E-05,7.58E-28,9.66E-14,4.97E-50
0.1601601602,0.1469961138,4.10E-15,0.0001168107639,1.71E-27,2.04E-13,1.78E-49
0.1621621622,0.1642124914,7.27E-15,0.0001659068366,3.81E-27,4.22E-13,6.23E-49
0.1641641642,0.1824511571,1.27E-14,0.0002328509363,8.35E-27,8.56E-13,2.13E-48
0.1661661662,0.2016621657,2.20E-14,0.0003230695106,1.80E-26,1.71E-12,7.13E-48
0.1681681682,0.2217854715,3.75E-14,0.0004432851707,3.84E-26,3.35E-12,2.34E-47
