RSN,PGA (g),MIDR 1st Floor (%),MIDR 2nd Floor (%),MIDR 3rd Floor (%),MIDR 4th Floor (%),MIDR ALL (%)
334,0,0.00000,0.00000,0.00000,0.00000,0.00000
334,0.1,0.40502,0.51624,0.41327,0.20299,0.51624
334,0.15,0.80859,1.01062,0.84385,0.37691,1.01062
334,0.2,1.09026,1.31278,1.21606,0.49860,1.31278
334,0.25,1.03734,1.33060,2.81950,0.55873,2.81950
334,0.3,1.26330,1.48621,3.48935,0.59183,3.48935
334,0.35,1.39006,1.53424,4.12596,0.64826,4.12596
334,0.4,1.36797,1.41864,4.73726,0.68617,4.73726
2476,0,0.00000,0.00000,0.00000,0.00000,0.00000
2476,0.1,0.25781,0.32932,0.26242,0.13342,0.32932
2476,0.15,0.41604,0.53830,0.44253,0.21499,0.53830
2476,0.2,0.65230,0.83572,0.70316,0.32810,0.83572
2476,0.25,0.92521,1.17249,1.06015,0.46289,1.17249
2476,0.3,1.10607,1.34801,2.23777,0.54295,2.23777
2476,0.35,1.12661,1.36571,3.20524,0.56117,3.20524
2476,0.4,1.13548,1.38365,3.59571,0.62252,3.59571
2476,0.45,1.23589,1.44178,3.95373,0.68212,3.95373
2476,0.5,1.28533,1.40890,4.44004,0.70299,4.44004
2510,0,0.00000,0.00000,0.00000,0.00000,0.00000
2510,0.1,0.34934,0.44333,0.35066,0.17369,0.44333
2510,0.15,0.60270,0.75845,0.62676,0.29497,0.75845
2510,0.2,0.82109,1.05064,0.90669,0.41908,1.05064
2510,0.25,1.02281,1.30325,2.09115,0.53518,2.09115
2510,0.3,1.05756,1.35928,2.47939,0.56897,2.47939
2510,0.35,1.13824,1.45857,2.88684,0.58941,2.88684
2510,0.4,1.22076,1.50443,4.35360,0.65560,4.35360
3282,0,0.00000,0.00000,0.00000,0.00000,0.00000
3282,0.1,0.33503,0.41953,0.32871,0.16245,0.41953
3282,0.15,0.61465,0.76643,0.65091,0.31910,0.76643
3282,0.2,0.91068,1.15371,1.01917,0.45115,1.15371
3282,0.25,1.15829,1.39511,1.66940,0.52138,1.66940
3282,0.3,1.14938,1.41090,2.66898,0.57979,2.66898
3282,0.35,1.41895,1.58147,3.72422,0.59477,3.72422
3282,0.4,1.73283,1.76798,5.07020,0.71056,5.07020
4199,0,0.00000,0.00000,0.00000,0.00000,0.00000
4199,0.1,0.35062,0.44555,0.34959,0.17299,0.44555
4199,0.15,0.69147,0.86112,0.70468,0.32561,0.86112
4199,0.2,1.01845,1.27226,1.24085,0.49516,1.27226
4199,0.25,1.21667,1.45081,2.43230,0.56769,2.43230
4199,0.3,1.07091,1.35193,2.90020,0.58529,2.90020
4199,0.35,1.16857,1.42858,3.81552,0.63929,3.81552
4199,0.4,1.27270,1.49386,4.62232,0.69828,4.62232
5259,0,0.00000,0.00000,0.00000,0.00000,0.00000
5259,0.1,0.30517,0.37563,0.28428,0.14480,0.37563
5259,0.15,0.54534,0.67533,0.53098,0.25380,0.67533
5259,0.2,0.78222,0.99023,0.83800,0.38186,0.99023
5259,0.25,0.98368,1.23340,1.20238,0.48168,1.23340
5259,0.3,1.22921,1.47098,2.10989,0.57765,2.10989
5259,0.35,1.37468,1.53992,3.02512,0.57756,3.02512
5259,0.4,1.28486,1.49582,3.69690,0.63097,3.69690
5259,0.45,1.39719,1.50764,4.21043,0.67828,4.21043
5676,0,0.00000,0.00000,0.00000,0.00000,0.00000
5676,0.1,0.25328,0.31964,0.25354,0.12886,0.31964
5676,0.15,0.45578,0.56517,0.45020,0.22112,0.56517
5676,0.2,0.60621,0.77545,0.64766,0.30767,0.77545
5676,0.25,0.77762,1.01567,0.91942,0.44067,1.01567
5676,0.3,1.00569,1.26307,1.41968,0.53310,1.41968
5676,0.35,1.18751,1.36901,2.61186,0.56848,2.61186
5676,0.4,1.31045,1.45908,2.76371,0.60416,2.76371
5676,0.45,1.55043,1.57620,3.68717,0.69435,3.68717
5676,0.5,1.76753,1.68050,4.56509,0.73900,4.56509
