RSN,PGA (g),MIDR 1st Floor (%),MIDR 2nd Floor (%),MIDR 3rd Floor (%),MIDR 4th Floor (%),MIDR ALL (%)
334,0,0.00000,0.00000,0.00000,0.00000,0.00000
334,0.1,0.04932,0.10349,0.11293,0.09920,0.11293
334,0.15,0.07588,0.16048,0.17908,0.16114,0.17908
334,0.2,0.10986,0.22990,0.25794,0.23512,0.25794
334,0.25,0.14210,0.29352,0.32807,0.30061,0.32807
334,0.3,0.20096,0.40317,0.44860,0.41418,0.44860
334,0.35,0.27599,0.53187,0.58342,0.53971,0.58342
334,0.4,0.35821,0.66983,0.72621,0.67174,0.72621
334,0.45,0.42034,0.77834,0.84255,0.78296,0.84255
334,0.5,0.48364,0.90182,0.98624,0.92693,0.98624
334,0.55,0.59000,1.09906,1.20067,1.13469,1.20067
334,0.6,0.65139,1.21674,1.32626,1.25785,1.32626
334,0.65,0.69736,1.30587,1.42372,1.35532,1.42372
334,0.7,0.76754,1.44104,1.57110,1.50126,1.57110
334,0.75,0.82473,1.55606,1.69746,1.63108,1.69746
334,0.8,0.86682,1.64504,1.79993,1.73673,1.79993
334,0.85,0.91037,1.73143,1.90050,1.83789,1.90050
334,0.9,1.00057,1.86639,2.04476,1.98283,2.04476
334,0.95,1.09772,2.04334,2.23402,2.17794,2.23402
334,1.0,1.20199,2.23107,2.44740,2.39442,2.44740
334,1.05,1.41215,2.56316,2.81124,2.76743,2.81124
334,1.1,1.75044,3.03020,3.32163,3.29325,3.32163
334,1.15,2.08880,3.49342,3.83461,3.82278,3.83461
334,1.2,2.38222,3.88078,4.25919,4.26342,4.26342
2476,0,0.00000,0.00000,0.00000,0.00000,0.00000
2476,0.1,0.03628,0.07751,0.08685,0.07787,0.08685
2476,0.15,0.05395,0.11666,0.13302,0.12122,0.13302
2476,0.2,0.07277,0.15770,0.18231,0.16862,0.18231
2476,0.25,0.09355,0.20215,0.23509,0.21989,0.23509
2476,0.3,0.11606,0.25023,0.29239,0.27548,0.29239
2476,0.35,0.14027,0.30202,0.35372,0.33574,0.35372
2476,0.4,0.16689,0.35732,0.41822,0.39858,0.41822
2476,0.45,0.19676,0.41638,0.48546,0.46337,0.48546
2476,0.5,0.22992,0.47830,0.55361,0.52835,0.55361
2476,0.55,0.26654,0.54326,0.62424,0.59557,0.62424
2476,0.6,0.30599,0.61107,0.69660,0.66393,0.69660
2476,0.7,0.39087,0.75310,0.84428,0.80281,0.84428
2476,0.8,0.47978,0.90189,0.99720,0.94503,0.99720
2476,0.9,0.57004,1.05800,1.15917,1.09882,1.15917
2476,1.0,0.65965,1.21342,1.31865,1.25050,1.31865
2476,1.1,0.74598,1.36266,1.46414,1.38470,1.46414
2476,1.2,0.83316,1.51313,1.60832,1.51161,1.60832
2476,1.3,0.92085,1.66465,1.78761,1.70104,1.78761
2476,1.35,1.00608,1.85894,2.00521,1.92379,2.00521
2476,1.4,1.14616,2.11162,2.29332,2.22934,2.29332
2476,1.45,1.30732,2.41507,2.65367,2.61084,2.65367
2476,1.5,1.49925,2.69577,2.97806,2.95145,2.97806
2476,1.55,1.73638,2.98503,3.29305,3.27405,3.29305
2476,1.6,2.02418,3.35736,3.69516,3.68565,3.69516
2476,1.65,2.39481,3.81288,4.11984,4.11820,4.11984
2510,0,0.00000,0.00000,0.00000,0.00000,0.00000
2510,0.1,0.03961,0.08355,0.09341,0.08326,0.09341
2510,0.3,0.14778,0.30731,0.34661,0.31995,0.34661
2510,0.5,0.35565,0.66630,0.72847,0.68197,0.72847
2510,0.6,0.51167,0.94300,1.02083,0.95415,1.02083
2510,0.65,0.56023,1.03690,1.13102,1.06693,1.13102
2510,0.7,0.61676,1.14339,1.24689,1.18015,1.24689
2510,0.8,0.75853,1.41392,1.53662,1.46320,1.53662
2510,0.9,0.87774,1.66136,1.81803,1.75172,1.81803
2510,0.95,0.92534,1.76275,1.93399,1.87135,1.93399
2510,1.0,0.96759,1.85170,2.03654,1.97747,2.03654
2510,1.05,1.00231,1.92531,2.12297,2.06710,2.12297
2510,1.1,1.06049,2.03072,2.24364,2.19282,2.24364
2510,1.2,1.34253,2.46865,2.71880,2.67879,2.71880
2510,1.25,1.54130,2.77414,3.05067,3.01679,3.05067
2510,1.3,1.76913,3.08818,3.39449,3.37055,3.39449
2510,1.35,2.04667,3.46169,3.80443,3.79219,3.80443
2510,1.4,2.33244,3.87425,4.27423,4.29104,4.29104
3282,0,0.00000,0.00000,0.00000,0.00000,0.00000
